State,Day,Predicted_Population,Model_R²,Model_MAE
Bihar,1,2.58,-0.37684026133115567,2.3380952380952382
Bihar,2,2.52,-0.37684026133115567,2.3380952380952382
Bihar,3,10.44,-0.37684026133115567,2.3380952380952382
Bihar,4,10.43,-0.37684026133115567,2.3380952380952382
Bihar,5,5.3,-0.37684026133115567,2.3380952380952382
Bihar,6,2.39,-0.37684026133115567,2.3380952380952382
Bihar,7,2.47,-0.37684026133115567,2.3380952380952382
Bihar,8,2.37,-0.37684026133115567,2.3380952380952382
Bihar,9,2.36,-0.37684026133115567,2.3380952380952382
Bihar,10,2.33,-0.37684026133115567,2.3380952380952382
Bihar,11,2.71,-0.37684026133115567,2.3380952380952382
Bihar,12,2.75,-0.37684026133115567,2.3380952380952382
Bihar,13,13.09,-0.37684026133115567,2.3380952380952382
Bihar,14,10.11,-0.37684026133115567,2.3380952380952382
Bihar,15,4.1,-0.37684026133115567,2.3380952380952382
Bihar,16,2.42,-0.37684026133115567,2.3380952380952382
Bihar,17,7.58,-0.37684026133115567,2.3380952380952382
Bihar,18,6.54,-0.37684026133115567,2.3380952380952382
Bihar,19,2.89,-0.37684026133115567,2.3380952380952382
Bihar,20,3.35,-0.37684026133115567,2.3380952380952382
Bihar,21,7.93,-0.37684026133115567,2.3380952380952382
Bihar,22,16.69,-0.37684026133115567,2.3380952380952382
Bihar,23,5.41,-0.37684026133115567,2.3380952380952382
Bihar,24,6.87,-0.37684026133115567,2.3380952380952382
Bihar,25,5.27,-0.37684026133115567,2.3380952380952382
Bihar,26,5.19,-0.37684026133115567,2.3380952380952382
Bihar,27,6.89,-0.37684026133115567,2.3380952380952382
Bihar,28,5.62,-0.37684026133115567,2.3380952380952382
Bihar,29,5.63,-0.37684026133115567,2.3380952380952382
Bihar,30,4.89,-0.37684026133115567,2.3380952380952382
