State,Day,Predicted_Population,Model_R²,Model_MAE
Chandigarh,1,3.73,-0.10103274950658458,1.6156367731302264
Chandigarh,2,1.94,-0.10103274950658458,1.6156367731302264
Chandigarh,3,7.11,-0.10103274950658458,1.6156367731302264
Chandigarh,4,2.0,-0.10103274950658458,1.6156367731302264
Chandigarh,5,1.59,-0.10103274950658458,1.6156367731302264
Chandigarh,6,2.3569999999999998,-0.10103274950658458,1.6156367731302264
Chandigarh,7,1.96,-0.10103274950658458,1.6156367731302264
Chandigarh,8,2.39,-0.10103274950658458,1.6156367731302264
Chandigarh,9,2.2234615384615384,-0.10103274950658458,1.6156367731302264
Chandigarh,10,2.0086,-0.10103274950658458,1.6156367731302264
Chandigarh,11,4.23,-0.10103274950658458,1.6156367731302264
Chandigarh,12,1.99,-0.10103274950658458,1.6156367731302264
Chandigarh,13,2.87,-0.10103274950658458,1.6156367731302264
Chandigarh,14,2.017612648221344,-0.10103274950658458,1.6156367731302264
Chandigarh,15,2.0194040230868877,-0.10103274950658458,1.6156367731302264
Chandigarh,16,2.6443214285714283,-0.10103274950658458,1.6156367731302264
Chandigarh,17,2.012731092436975,-0.10103274950658458,1.6156367731302264
Chandigarh,18,2.0024,-0.10103274950658458,1.6156367731302264
Chandigarh,19,2.3294952380952383,-0.10103274950658458,1.6156367731302264
Chandigarh,20,2.0162510989010993,-0.10103274950658458,1.6156367731302264
Chandigarh,21,1.983913043478261,-0.10103274950658458,1.6156367731302264
Chandigarh,22,2.026738161838162,-0.10103274950658458,1.6156367731302264
Chandigarh,23,2.0517295167509046,-0.10103274950658458,1.6156367731302264
Chandigarh,24,2.0862577767088943,-0.10103274950658458,1.6156367731302264
Chandigarh,25,2.117079232276675,-0.10103274950658458,1.6156367731302264
Chandigarh,26,2.1368970901834397,-0.10103274950658458,1.6156367731302264
Chandigarh,27,2.3287622475484264,-0.10103274950658458,1.6156367731302264
Chandigarh,28,2.3287622475484264,-0.10103274950658458,1.6156367731302264
Chandigarh,29,2.3287622475484264,-0.10103274950658458,1.6156367731302264
Chandigarh,30,2.328762247548427,-0.10103274950658458,1.6156367731302264
