State,Day,Predicted_Population,Model_R²,Model_MAE
Haryana,1,2.36,-0.6718102676399027,1.0289000000000001
Haryana,2,2.23,-0.6718102676399027,1.0289000000000001
Haryana,3,6.48,-0.6718102676399027,1.0289000000000001
Haryana,4,1.81,-0.6718102676399027,1.0289000000000001
Haryana,5,1.91,-0.6718102676399027,1.0289000000000001
Haryana,6,9.15,-0.6718102676399027,1.0289000000000001
Haryana,7,1.5999999999999996,-0.6718102676399027,1.0289000000000001
Haryana,8,3.79,-0.6718102676399027,1.0289000000000001
Haryana,9,7.11,-0.6718102676399027,1.0289000000000001
Haryana,10,2.07,-0.6718102676399027,1.0289000000000001
Haryana,11,3.81,-0.6718102676399027,1.0289000000000001
Haryana,12,8.153333333333332,-0.6718102676399027,1.0289000000000001
Haryana,13,5.121666666666667,-0.6718102676399027,1.0289000000000001
Haryana,14,3.57,-0.6718102676399027,1.0289000000000001
Haryana,15,8.15,-0.6718102676399027,1.0289000000000001
Haryana,16,13.51,-0.6718102676399027,1.0289000000000001
Haryana,17,3.6,-0.6718102676399027,1.0289000000000001
Haryana,18,11.14,-0.6718102676399027,1.0289000000000001
Haryana,19,12.97,-0.6718102676399027,1.0289000000000001
Haryana,20,3.6,-0.6718102676399027,1.0289000000000001
Haryana,21,10.64,-0.6718102676399027,1.0289000000000001
Haryana,22,12.98,-0.6718102676399027,1.0289000000000001
Haryana,23,5.99,-0.6718102676399027,1.0289000000000001
Haryana,24,10.59,-0.6718102676399027,1.0289000000000001
Haryana,25,12.98,-0.6718102676399027,1.0289000000000001
Haryana,26,13.01,-0.6718102676399027,1.0289000000000001
Haryana,27,10.59,-0.6718102676399027,1.0289000000000001
Haryana,28,12.97,-0.6718102676399027,1.0289000000000001
Haryana,29,13.01,-0.6718102676399027,1.0289000000000001
Haryana,30,10.58,-0.6718102676399027,1.0289000000000001
