State,Day,Predicted_Population,Model_R²,Model_MAE
Jammu and Kashmir,1,2.074642857142857,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,2,2.1,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,3,1.81,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,4,1.5575,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,5,2.48,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,6,2.022,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,7,2.305642857142857,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,8,2.136785714285714,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,9,1.9815,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,10,2.6011785714285707,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,11,2.3378928571428568,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,12,2.392035714285714,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,13,2.4992857142857137,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,14,1.9971785714285712,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,15,2.209571428571428,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,16,2.483535714285714,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,17,2.3405714285714283,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,18,3.367178571428571,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,19,2.147142857142857,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,20,2.1895357142857144,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,21,2.3719285714285707,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,22,1.9591785714285712,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,23,2.209571428571428,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,24,2.483535714285714,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,25,2.267071428571428,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,26,3.0893928571428573,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,27,2.0385,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,28,2.1357857142857144,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,29,2.3719285714285707,-0.4567499942141795,0.7973249999999995
Jammu and Kashmir,30,1.9591785714285712,-0.4567499942141795,0.7973249999999995
