State,Day,Predicted_Population,Model_R²,Model_MAE
Meghalaya,1,2.18,-0.04615694923817637,15.646666666666663
Meghalaya,2,2.11,-0.04615694923817637,15.646666666666663
Meghalaya,3,6.46,-0.04615694923817637,15.646666666666663
Meghalaya,4,8.43,-0.04615694923817637,15.646666666666663
Meghalaya,5,4.87,-0.04615694923817637,15.646666666666663
Meghalaya,6,10.88,-0.04615694923817637,15.646666666666663
Meghalaya,7,2.35,-0.04615694923817637,15.646666666666663
Meghalaya,8,3.7,-0.04615694923817637,15.646666666666663
Meghalaya,9,2.67,-0.04615694923817637,15.646666666666663
Meghalaya,10,2.97,-0.04615694923817637,15.646666666666663
Meghalaya,11,3.13,-0.04615694923817637,15.646666666666663
Meghalaya,12,2.32,-0.04615694923817637,15.646666666666663
Meghalaya,13,2.69,-0.04615694923817637,15.646666666666663
Meghalaya,14,1.99,-0.04615694923817637,15.646666666666663
Meghalaya,15,2.58,-0.04615694923817637,15.646666666666663
Meghalaya,16,2.98,-0.04615694923817637,15.646666666666663
Meghalaya,17,2.8,-0.04615694923817637,15.646666666666663
Meghalaya,18,3.3,-0.04615694923817637,15.646666666666663
Meghalaya,19,1.67,-0.04615694923817637,15.646666666666663
Meghalaya,20,3.36,-0.04615694923817637,15.646666666666663
Meghalaya,21,2.0,-0.04615694923817637,15.646666666666663
Meghalaya,22,2.73,-0.04615694923817637,15.646666666666663
Meghalaya,23,3.14,-0.04615694923817637,15.646666666666663
Meghalaya,24,2.72,-0.04615694923817637,15.646666666666663
Meghalaya,25,3.29,-0.04615694923817637,15.646666666666663
Meghalaya,26,1.67,-0.04615694923817637,15.646666666666663
Meghalaya,27,3.36,-0.04615694923817637,15.646666666666663
Meghalaya,28,1.99,-0.04615694923817637,15.646666666666663
Meghalaya,29,2.76,-0.04615694923817637,15.646666666666663
Meghalaya,30,3.14,-0.04615694923817637,15.646666666666663
