State,Day,Predicted_Population,Model_R²,Model_MAE
West Bengal,1,3.020608058608058,-47.28613941088057,2.4362624847374845
West Bengal,2,2.8640476190476187,-47.28613941088057,2.4362624847374845
West Bengal,3,2.035857142857143,-47.28613941088057,2.4362624847374845
West Bengal,4,2.581428571428571,-47.28613941088057,2.4362624847374845
West Bengal,5,3.955,-47.28613941088057,2.4362624847374845
West Bengal,6,1.95,-47.28613941088057,2.4362624847374845
West Bengal,7,2.8344444444444448,-47.28613941088057,2.4362624847374845
West Bengal,8,3.67,-47.28613941088057,2.4362624847374845
West Bengal,9,2.09,-47.28613941088057,2.4362624847374845
West Bengal,10,2.05,-47.28613941088057,2.4362624847374845
West Bengal,11,2.28,-47.28613941088057,2.4362624847374845
West Bengal,12,2.1321666666666665,-47.28613941088057,2.4362624847374845
West Bengal,13,2.02,-47.28613941088057,2.4362624847374845
West Bengal,14,2.429666666666667,-47.28613941088057,2.4362624847374845
West Bengal,15,2.282,-47.28613941088057,2.4362624847374845
West Bengal,16,2.094984126984127,-47.28613941088057,2.4362624847374845
West Bengal,17,2.1776666666666666,-47.28613941088057,2.4362624847374845
West Bengal,18,2.4798730158730162,-47.28613941088057,2.4362624847374845
West Bengal,19,4.550750915750916,-47.28613941088057,2.4362624847374845
West Bengal,20,2.5756111111111113,-47.28613941088057,2.4362624847374845
West Bengal,21,2.497100122100122,-47.28613941088057,2.4362624847374845
West Bengal,22,2.588436507936508,-47.28613941088057,2.4362624847374845
West Bengal,23,1.9587857142857144,-47.28613941088057,2.4362624847374845
West Bengal,24,2.4000763125763127,-47.28613941088057,2.4362624847374845
West Bengal,25,2.07,-47.28613941088057,2.4362624847374845
West Bengal,26,3.0291874236874237,-47.28613941088057,2.4362624847374845
West Bengal,27,1.78,-47.28613941088057,2.4362624847374845
West Bengal,28,1.98,-47.28613941088057,2.4362624847374845
West Bengal,29,2.54,-47.28613941088057,2.4362624847374845
West Bengal,30,1.8,-47.28613941088057,2.4362624847374845
