date,state,district,pincode,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_population,Trend_Slope,Trend_R²,Trend_Direction
2025-03-01,Andaman and Nicobar Islands,North And Middle Andaman,744209,2.0,0.0,0.0,20.0,14.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-04-01,Andaman and Nicobar Islands,South Andaman,744102,2.0,0.0,0.0,43.0,37.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-05-01,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,137.0,93.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-06-01,Andaman and Nicobar Islands,Nicobar,744301,2.0,0.0,0.0,19.0,29.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-07-01,Andaman and Nicobar Islands,South Andaman,744112,2.0,0.0,0.0,24.0,11.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-01,Andaman and Nicobar Islands,Nicobar,744303,2.0,0.0,0.0,5.0,6.0,0.0,4.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-02,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,5.0,6.0,1.0,0.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-03,Andaman and Nicobar Islands,South Andaman,744106,2.0,0.0,0.0,5.0,6.0,1.0,4.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-04,Andaman and Nicobar Islands,North And Middle Andaman,744201,2.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-05,Andaman and Nicobar Islands,South Andaman,744107,2.0,0.0,0.0,3.0,0.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-06,Andaman and Nicobar Islands,Andamans,744103,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-07,Andaman and Nicobar Islands,North And Middle Andaman,744205,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-08,Andaman and Nicobar Islands,South Andaman,744102,2.0,0.0,0.0,5.0,6.0,1.0,3.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-09,Andaman and Nicobar Islands,Nicobar,744301,2.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-10,Andaman and Nicobar Islands,Nicobar,744303,1.0,0.0,0.0,5.0,6.0,1.0,6.0,1.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-11,Andaman and Nicobar Islands,North And Middle Andaman,744210,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-12,Andaman and Nicobar Islands,South Andaman,744207,2.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-13,Andaman and Nicobar Islands,South Andaman,744103,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-14,Andaman and Nicobar Islands,North And Middle Andaman,744201,2.0,0.0,0.0,5.0,6.0,0.0,1.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-15,Andaman and Nicobar Islands,North And Middle Andaman,744202,1.0,1.0,0.0,5.0,6.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
2025-09-16,Andaman and Nicobar Islands,South Andaman,744206,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,-0.0007463910297368974,0.100478188585859,Decreasing
